?ÿ,A,B,C,D,E,F,G,H,I,J,K
Single 1,24000,23000,22000,21000,20000,19000,18000,17500,16500,15500,13500
Double 1,26336,24000,23000,22000,21000,20000,19000,18500,17500,16500,14000
Double 2,29900,27000,26000,25000,24000,23000,22000,21000,20000,19500,17000
Twin 1,32276,30000,28400,26800,25200,23600,22000,20400,18800,17500,14800
Twin 2,36000,34000,32400,30800,29200,27600,26000,24400,22800,21300,18800
Superior Twin 1,38216,32000,30400,28800,27200,25600,24000,22400,20800,19200,15800
Superior Twin 2,42000,40500,39000,37500,36000,34200,33000,31500,30000,28500,25500
Superior Twin 3,45600,44100,42600,41100,39600,38100,36600,35100,33600,23100,29100
Deluxe Twin 1,41780,40000,38000,36000,34000,32000,30000,28000,26000,25000,21000
Deluxe Twin 2,48000,46500,43500,42000,40500,39000,37500,36000,34200,33000,30000
Deluxe Twin 3,51900,50100,47100,45600,44100,42600,41100,39600,38100,36600,33600
Premium Twin 2,59800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AdultBFT,2200,,,,,,,,,,
ChildBFT,1540,,,,,,,,,,
MemberDiscount,600,,,,,,,,,,
SpecialNote,** Tick member discount,,,,,,,,,,
